"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"100","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","petal width",1.3,"cm"
"101","Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","sepal length",5.8,"cm"
"102","Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","sepal width",2.6,"cm"
"103","Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","petal length",4,"cm"
"104","Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","petal width",1.2,"cm"
"105","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","sepal length",5.7,"cm"
"106","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","sepal width",3,"cm"
"107","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","petal length",4.2,"cm"
"108","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","petal width",1.2,"cm"
"109","Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","sepal length",5.1,"cm"
"110","Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","sepal width",2.5,"cm"
"111","Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","petal length",3,"cm"
"112","Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","petal width",1.1,"cm"
"113","Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","sepal length",5.8,"cm"
"114","Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","sepal width",2.7,"cm"
"115","Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","petal length",5.1,"cm"
"116","Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","petal width",1.9,"cm"
"117","Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","sepal length",6.5,"cm"
"118","Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","sepal width",3,"cm"
"119","Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","petal length",5.8,"cm"
"120","Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","petal width",2.2,"cm"
"121","Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","sepal length",7.3,"cm"
"122","Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","sepal width",2.9,"cm"
"123","Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","petal length",6.3,"cm"
"124","Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","petal width",1.8,"cm"
"125","Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","sepal length",6.5,"cm"
"126","Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","sepal width",3.2,"cm"
"127","Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","petal length",5.1,"cm"
"128","Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","petal width",2,"cm"
"129","Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","sepal length",5.7,"cm"
"130","Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","sepal width",2.5,"cm"
"131","Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","petal length",5,"cm"
"132","Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","petal width",2,"cm"
"133","Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","sepal length",6.5,"cm"
"134","Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","sepal width",3,"cm"
"135","Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","petal length",5.5,"cm"
"136","Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","petal width",1.8,"cm"
"137","Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","sepal length",6,"cm"
"138","Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","sepal width",2.2,"cm"
"139","Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","petal length",5,"cm"
"140","Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","petal width",1.5,"cm"
"141","Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","sepal length",7.7,"cm"
"142","Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","sepal width",2.8,"cm"
"143","Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","petal length",6.7,"cm"
"144","Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","petal width",2,"cm"
"145","Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","sepal length",7.2,"cm"
"146","Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","sepal width",3.2,"cm"
"147","Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","petal length",6,"cm"
"148","Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","petal width",1.8,"cm"
"149","Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","sepal length",6.4,"cm"
"150","Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","sepal width",2.8,"cm"
"151","Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","petal length",5.6,"cm"
"152","Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","petal width",2.1,"cm"
"153","Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","sepal length",7.9,"cm"
"154","Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","sepal width",3.8,"cm"
"155","Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","petal length",6.4,"cm"
"156","Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","petal width",2,"cm"
"157","Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","sepal length",6.1,"cm"
"158","Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","sepal width",2.6,"cm"
"159","Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","petal length",5.6,"cm"
"160","Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","petal width",1.4,"cm"
"161","Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","sepal length",6.4,"cm"
"162","Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","sepal width",3.1,"cm"
"163","Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","petal length",5.5,"cm"
"164","Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","petal width",1.8,"cm"
"165","Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","sepal length",6.7,"cm"
"166","Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","sepal width",3.1,"cm"
"167","Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","petal length",5.6,"cm"
"168","Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","petal width",2.4,"cm"
"169","Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","sepal length",6.8,"cm"
"170","Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","sepal width",3.2,"cm"
"171","Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","petal length",5.9,"cm"
"172","Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","petal width",2.3,"cm"
"173","Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","sepal length",6.3,"cm"
"174","Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","sepal width",2.5,"cm"
"175","Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","petal length",5,"cm"
"176","Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","petal width",1.9,"cm"
"177","Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","sepal length",5.9,"cm"
"178","Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","sepal width",3,"cm"
"179","Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","petal length",5.1,"cm"
"180","Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","petal width",1.8,"cm"
"181","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","sepal length",4.7,"cm"
"182","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","sepal width",3.2,"cm"
"183","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","petal length",1.3,"cm"
"184","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","petal width",0.2,"cm"
"185","Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","sepal length",5.4,"cm"
"186","Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","sepal width",3.9,"cm"
"187","Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","petal length",1.7,"cm"
"188","Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","petal width",0.4,"cm"
"189","Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","sepal length",4.4,"cm"
"190","Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","sepal width",2.9,"cm"
"191","Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","petal length",1.4,"cm"
"192","Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","petal width",0.2,"cm"
"193","Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","sepal length",4.8,"cm"
"194","Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","sepal width",3.4,"cm"
"195","Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","petal length",1.6,"cm"
"196","Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","petal width",0.2,"cm"
"197","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","sepal length",5.8,"cm"
"198","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","sepal width",4,"cm"
"199","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","petal length",1.2,"cm"
"200","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","petal width",0.2,"cm"
"201","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","sepal length",5.4,"cm"
"202","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","sepal width",3.9,"cm"
"203","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","petal length",1.3,"cm"
"204","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","petal width",0.4,"cm"
"205","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","sepal length",5.1,"cm"
"206","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","sepal width",3.8,"cm"
"207","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","petal length",1.5,"cm"
"208","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","petal width",0.3,"cm"
"209","Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","sepal length",4.6,"cm"
"210","Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","sepal width",3.6,"cm"
"211","Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","petal length",1,"cm"
"212","Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","petal width",0.2,"cm"
"213","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","sepal length",5,"cm"
"214","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","sepal width",3,"cm"
"215","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","petal length",1.6,"cm"
"216","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","petal width",0.2,"cm"
"217","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","sepal length",5.2,"cm"
"218","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","sepal width",3.4,"cm"
"219","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","petal length",1.4,"cm"
"220","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","petal width",0.2,"cm"
"221","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","sepal length",5.4,"cm"
"222","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","sepal width",3.4,"cm"
"223","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","petal length",1.5,"cm"
"224","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","petal width",0.4,"cm"
"225","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","sepal length",4.9,"cm"
"226","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","sepal width",3.1,"cm"
"227","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","petal length",1.5,"cm"
"228","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","petal width",0.2,"cm"
"229","Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","sepal length",4.9,"cm"
"230","Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","sepal width",3.6,"cm"
"231","Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","petal length",1.4,"cm"
"232","Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","petal width",0.1,"cm"
"233","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","sepal length",5,"cm"
"234","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","sepal width",3.5,"cm"
"235","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","petal length",1.3,"cm"
"236","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","petal width",0.3,"cm"
"237","Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","sepal length",5,"cm"
"238","Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","sepal width",3.5,"cm"
"239","Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","petal length",1.6,"cm"
"240","Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","petal width",0.6,"cm"
"241","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","sepal length",5.1,"cm"
"242","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","sepal width",3.8,"cm"
"243","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","petal length",1.6,"cm"
"244","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","petal width",0.2,"cm"
"245","Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","sepal length",5,"cm"
"246","Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","sepal width",3.3,"cm"
"247","Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","petal length",1.4,"cm"
"248","Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","petal width",0.2,"cm"
"249","Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","sepal length",6.9,"cm"
"250","Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","sepal width",3.1,"cm"
"251","Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","petal length",4.9,"cm"
"252","Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","petal width",1.5,"cm"
"253","Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","sepal length",5.7,"cm"
"254","Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","sepal width",2.8,"cm"
"255","Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","petal length",4.5,"cm"
"256","Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","petal width",1.3,"cm"
"257","Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","sepal length",6.6,"cm"
"258","Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","sepal width",2.9,"cm"
"259","Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","petal length",4.6,"cm"
"260","Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","petal width",1.3,"cm"
"261","Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","sepal length",5.9,"cm"
"262","Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","sepal width",3,"cm"
"263","Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","petal length",4.2,"cm"
"264","Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","petal width",1.5,"cm"
"265","Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","sepal length",5.6,"cm"
"266","Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","sepal width",2.9,"cm"
"267","Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","petal length",3.6,"cm"
"268","Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","petal width",1.3,"cm"
"269","Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","sepal length",5.8,"cm"
"270","Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","sepal width",2.7,"cm"
"271","Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","petal length",4.1,"cm"
"272","Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","petal width",1,"cm"
"273","Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","sepal length",5.9,"cm"
"274","Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","sepal width",3.2,"cm"
"275","Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","petal length",4.8,"cm"
"276","Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","petal width",1.8,"cm"
"277","Site2_1930-02-13","Site2_1930-02-13_A74","Edgar Anderson","sepal length",6.1,"cm"
