Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,amostra,lat,lon,date,site
5,3.6,1.4,0.2,Iris setosa,A5,48.540502,-64.766512,1930-02-13,Site2
5,3.4,1.5,0.2,Iris setosa,A8,48.540502,-64.766512,1930-02-13,Site2
5.4,3.7,1.5,0.2,Iris setosa,A11,48.540502,-64.766512,1930-02-13,Site2
4.3,3,1.1,0.1,Iris setosa,A14,48.540502,-64.766512,1930-02-13,Site2
5.7,3.8,1.7,0.3,Iris setosa,A19,48.329837,-65.512333,1929-12-01,Site3
5.1,3.7,1.5,0.4,Iris setosa,A22,48.329837,-65.512333,1929-12-01,Site3
4.8,3.4,1.9,0.2,Iris setosa,A25,48.329837,-65.512333,1929-12-01,Site3
5.2,3.5,1.5,0.2,Iris setosa,A28,48.329837,-65.512333,1929-12-01,Site3
4.8,3.1,1.6,0.2,Iris setosa,A31,48.329837,-65.512333,1929-12-01,Site3
5.5,4.2,1.4,0.2,Iris setosa,A34,48.329837,-65.512333,1929-12-01,Site3
5.5,3.5,1.3,0.2,Iris setosa,A37,48.329837,-65.512333,1929-12-01,Site3
5.1,3.4,1.5,0.2,Iris setosa,A40,48.329837,-65.512333,1929-12-01,Site3
4.4,3.2,1.3,0.2,Iris setosa,A43,48.329837,-65.512333,1929-12-01,Site3
4.8,3,1.4,0.3,Iris setosa,A46,48.329837,-65.512333,1929-12-01,Site3
5.3,3.7,1.5,0.2,Iris setosa,A49,48.329837,-65.512333,1929-12-01,Site3
6.4,3.2,4.5,1.5,Iris versicolor,A52,48.329837,-65.512333,1929-12-01,Site3
6.5,2.8,4.6,1.5,Iris versicolor,A55,48.329837,-65.512333,1929-12-01,Site3
4.9,2.4,3.3,1,Iris versicolor,A58,48.329837,-65.512333,1929-12-01,Site3
5,2,3.5,1,Iris versicolor,A61,48.329837,-65.512333,1929-12-01,Site3
6.1,2.9,4.7,1.4,Iris versicolor,A64,48.329837,-65.512333,1929-12-01,Site3
5.6,3,4.5,1.5,Iris versicolor,A67,48.329837,-65.512333,1929-12-01,Site3
5.6,2.5,3.9,1.1,Iris versicolor,A70,48.329837,-65.512333,1929-12-01,Site3
6.3,2.5,4.9,1.5,Iris versicolor,A73,48.329837,-65.512333,1929-12-01,Site3
6.6,3,4.4,1.4,Iris versicolor,A76,48.329837,-65.512333,1929-12-01,Site3
6,2.9,4.5,1.5,Iris versicolor,A79,48.329837,-65.512333,1929-12-01,Site3
5.5,2.4,3.7,1,Iris versicolor,A82,48.329837,-65.512333,1929-12-01,Site3
5.4,3,4.5,1.5,Iris versicolor,A85,48.329837,-65.512333,1929-12-01,Site3
6.3,2.3,4.4,1.3,Iris versicolor,A88,48.329837,-65.512333,1929-12-01,Site3
5.5,2.6,4.4,1.2,Iris versicolor,A91,48.329837,-65.512333,1929-12-01,Site3
5,2.3,3.3,1,Iris versicolor,A94,48.329837,-65.512333,1929-12-01,Site3
5.7,2.9,4.2,1.3,Iris versicolor,A97,48.329837,-65.512333,1929-12-01,Site3
5.7,2.8,4.1,1.3,Iris versicolor,A100,48.329837,-65.512333,1929-12-01,Site3
7.1,3,5.9,2.1,Iris virginica,A103,48.329837,-65.512333,1929-12-01,Site3
7.6,3,6.6,2.1,Iris virginica,A106,48.329837,-65.512333,1929-12-01,Site3
6.7,2.5,5.8,1.8,Iris virginica,A109,48.329837,-65.512333,1929-12-01,Site3
6.4,2.7,5.3,1.9,Iris virginica,A112,48.329837,-65.512333,1929-12-01,Site3
5.8,2.8,5.1,2.4,Iris virginica,A115,48.329837,-65.512333,1929-12-01,Site3
7.7,3.8,6.7,2.2,Iris virginica,A118,48.329837,-65.512333,1929-12-01,Site3
6.9,3.2,5.7,2.3,Iris virginica,A121,48.329837,-65.512333,1929-12-01,Site3
6.3,2.7,4.9,1.8,Iris virginica,A124,48.329837,-65.512333,1929-12-01,Site3
6.2,2.8,4.8,1.8,Iris virginica,A127,48.329837,-65.512333,1929-12-01,Site3
7.2,3,5.8,1.6,Iris virginica,A130,48.329837,-65.512333,1929-12-01,Site3
6.4,2.8,5.6,2.2,Iris virginica,A133,48.329837,-65.512333,1929-12-01,Site3
7.7,3,6.1,2.3,Iris virginica,A136,48.329837,-65.512333,1929-12-01,Site3
6,3,4.8,1.8,Iris virginica,A139,48.329837,-65.512333,1929-12-01,Site3
6.9,3.1,5.1,2.3,Iris virginica,A142,48.329837,-65.512333,1929-12-01,Site3
6.7,3.3,5.7,2.5,Iris virginica,A145,48.329837,-65.512333,1929-12-01,Site3
6.5,3,5.2,2,Iris virginica,A148,48.329837,-65.512333,1929-12-01,Site3
5.1,3.5,1.4,0.2,Iris setosa,A1,48.329837,-65.512333,1929-12-01,Site3
4.6,3.1,1.5,0.2,Iris setosa,A4,48.329837,-65.512333,1929-12-01,Site3
4.6,3.4,1.4,0.3,Iris setosa,A7,48.329837,-65.512333,1929-12-01,Site3
4.9,3.1,1.5,0.1,Iris setosa,A10,48.329837,-65.512333,1929-12-01,Site3
4.8,3,1.4,0.1,Iris setosa,A13,48.329837,-65.512333,1929-12-01,Site3
5.7,4.4,1.5,0.4,Iris setosa,A16,48.329837,-65.512333,1929-12-01,Site3
