"eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","sepal length",4.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","sepal width",2.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","petal length",1.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","petal width",0.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","sepal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","sepal width",3.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","petal length",1.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","petal width",0.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","sepal length",4.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","petal length",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","sepal length",7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","petal length",4.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","petal width",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","sepal length",5.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","sepal width",2.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","petal length",4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","petal width",1.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","sepal length",6.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","sepal width",3.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","petal length",4.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","petal width",1.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","sepal length",5.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","sepal width",2.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","petal length",3.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","petal width",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","sepal length",6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","sepal width",2.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","petal length",4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","petal width",1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","sepal length",6.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","sepal width",3.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","petal length",4.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","petal width",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","sepal length",6.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","sepal width",2.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","petal length",4.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","petal width",1.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","sepal length",6.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","sepal width",2.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","petal length",4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","petal width",1.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","sepal length",6.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","sepal width",2.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","petal length",4.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","petal width",1.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","sepal length",6.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","sepal width",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","petal length",5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","petal width",1.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","sepal length",5.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","sepal width",2.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","petal length",3.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","petal width",1.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","sepal length",6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","sepal width",2.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","petal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","petal width",1.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","sepal length",6.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","sepal width",3.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","petal length",4.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","petal width",1.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","sepal length",5.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","sepal width",2.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","petal length",4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","petal width",1.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","sepal length",5.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","sepal width",2.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","petal length",4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A93","Edgar Anderson","petal width",1.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","sepal length",5.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","sepal width",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","petal length",4.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","petal width",1.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","sepal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","sepal width",2.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","petal length",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A99","Edgar Anderson","petal width",1.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","sepal length",5.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","sepal width",2.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","petal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A102","Edgar Anderson","petal width",1.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","sepal length",6.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","sepal width",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","petal length",5.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A105","Edgar Anderson","petal width",2.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","sepal length",7.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","sepal width",2.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","petal length",6.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A108","Edgar Anderson","petal width",1.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","sepal length",6.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","petal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A111","Edgar Anderson","petal width",2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","sepal length",5.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","sepal width",2.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","petal length",5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A114","Edgar Anderson","petal width",2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","sepal length",6.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","sepal width",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","petal length",5.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A117","Edgar Anderson","petal width",1.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","sepal length",6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","sepal width",2.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","petal length",5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A120","Edgar Anderson","petal width",1.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","sepal length",7.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","sepal width",2.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","petal length",6.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A123","Edgar Anderson","petal width",2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","sepal length",7.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","petal length",6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A126","Edgar Anderson","petal width",1.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","sepal length",6.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","sepal width",2.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","petal length",5.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A129","Edgar Anderson","petal width",2.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","sepal length",7.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","sepal width",3.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","petal length",6.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A132","Edgar Anderson","petal width",2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","sepal length",6.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","sepal width",2.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","petal length",5.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A135","Edgar Anderson","petal width",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","sepal length",6.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","sepal width",3.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","petal length",5.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A138","Edgar Anderson","petal width",1.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","sepal length",6.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","sepal width",3.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","petal length",5.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A141","Edgar Anderson","petal width",2.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","sepal length",6.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","petal length",5.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A144","Edgar Anderson","petal width",2.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","sepal length",6.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","sepal width",2.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","petal length",5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A147","Edgar Anderson","petal width",1.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","sepal length",5.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","sepal width",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","petal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A150","Edgar Anderson","petal width",1.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","sepal length",4.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","petal length",1.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","sepal length",5.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","sepal width",3.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","petal length",1.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A6","Edgar Anderson","petal width",0.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","sepal length",4.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","sepal width",2.9,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","petal length",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A9","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","sepal length",4.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","sepal width",3.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","petal length",1.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A12","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","sepal length",5.8,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","sepal width",4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","petal length",1.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","sepal length",5.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","sepal width",3.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","petal length",1.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","petal width",0.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","sepal length",5.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","sepal width",3.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","petal length",1.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","petal width",0.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","sepal length",4.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","sepal width",3.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","petal length",1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A23","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","sepal length",5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","sepal width",3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","petal length",1.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","sepal length",5.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","sepal width",3.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","petal length",1.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","sepal length",5.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","sepal width",3.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","petal length",1.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","petal width",0.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","sepal length",4.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","sepal width",3.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","petal length",1.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","sepal length",4.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","sepal width",3.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","petal length",1.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A38","Edgar Anderson","petal width",0.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","sepal length",5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","sepal width",3.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","petal length",1.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","petal width",0.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","sepal length",5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","sepal width",3.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","petal length",1.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A44","Edgar Anderson","petal width",0.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","sepal length",5.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","sepal width",3.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","petal length",1.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","sepal length",5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","sepal width",3.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","petal length",1.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A50","Edgar Anderson","petal width",0.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","sepal length",6.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","sepal width",3.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","petal length",4.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A53","Edgar Anderson","petal width",1.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","sepal length",5.7,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","sepal width",2.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","petal length",4.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A56","Edgar Anderson","petal width",1.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","sepal length",6.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","sepal width",2.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","petal length",4.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A59","Edgar Anderson","petal width",1.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","sepal length",5.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","sepal width",3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","petal length",4.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A62","Edgar Anderson","petal width",1.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","sepal length",5.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","sepal width",2.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","petal length",3.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A65","Edgar Anderson","petal width",1.3,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","sepal length",5.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","sepal width",2.7,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","petal length",4.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A68","Edgar Anderson","petal width",1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","sepal length",5.9,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","sepal width",3.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","petal length",4.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A71","Edgar Anderson","petal width",1.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A74","Edgar Anderson","sepal length",6.1,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A74","Edgar Anderson","sepal width",2.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A74","Edgar Anderson","petal length",4.7,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A74","Edgar Anderson","petal width",1.2,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A77","Edgar Anderson","sepal length",6.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A77","Edgar Anderson","sepal width",2.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A77","Edgar Anderson","petal length",4.8,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A77","Edgar Anderson","petal width",1.4,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A80","Edgar Anderson","sepal length",5.7,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A80","Edgar Anderson","sepal width",2.6,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A80","Edgar Anderson","petal length",3.5,"cm"
"Site2_1930-02-13","Site2_1930-02-13_A80","Edgar Anderson","petal width",1,"cm"
